dataset,exec_time_sec,cpu_time_sec,disk_read_MB,disk_written_MB,shuffle_MB,peak_storage_mem_MB,spark_ui,,,,,
email_baseline,0.892716497,0,1.508477211,0,0,0,http://2c579df59362:4040,,,,,
email_cached,0.327177705,0,1.508477211,0,0,0,http://2c579df59362:4040,,,,,
web_baseline,8.408996,0,0,0,0,0,http://2c579df59362:4040,,,,,
web_cached,0.302911,0,0,0,0,0,http://2c579df59362:4040,,,,,
patents_baseline,37.140945,0,0,0,0,0,http://2c579df59362:4040,,,,,
patents_cached,0.366255,0,0,0,0,0,http://2c579df59362:4040,,,,,
livejournal_baseline,120.217784,0,0,0,0,0,http://2c579df59362:4040,,,,,
livejournal_cached,0.400686,0,0,0,0,0,http://2c579df59362:4040,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
dataset,exec_time_sec,cpu_time_sec,disk_read_MB,disk_written_MB,shuffle_MB,peak_storage_mem_MB,spark_ui,partitions,shuffle_parts,used_rdd,cached,repartition_n
livejournal_baseline,0.219641,0,0,0,0,0,http://2c579df59362:4040,13,200,FALSE,FALSE,None
livejournal_cached,0.250871,0,0,0,0,0,http://2c579df59362:4040,13,200,FALSE,TRUE,None
livejournal_repart_s64_p16,82.66653,0,0,0,0,0,http://2c579df59362:4040,16,64,FALSE,FALSE,16
livejournal_rdd_reduceByKey,325.537443,0,0,0,0,0,http://2c579df59362:4040,16,64,TRUE,FALSE,16
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dataset,Hadoop exec time (s),Spark exec time (s),Notes,,,,,,,,,
Email,~9.57,~0.89,Spark completes the whole pipeline in one DAG; ~10× faster here.,,,,,,,,,
Web-BerkStan,~40.15,~8.41,~5× faster.,,,,,,,,,
Cit-Patents,~101.33,~37.14,~2.7× faster.,,,,,,,,,
LiveJournal (large),"~333.5 (baseline), ~324.8 (optimized)","~120.2 (baseline), ~0.40 (cached second pass)",Spark scales better and benefits hugely from caching when repeating queries.,,,,,,,,,
